Name,Compound,Date_Tweeted,Favorite,Negative,Neutral,Positive,Retweet,Tweet,User
BBC News (World),-0.053,Thu Apr 26 14:05:33 +0000 2018,1221,0.811,0.105,0.085,350,"Mia is Jewish. Aya is Arab. But thanks to a rare integrated school, they're good friends. https://t.co/s2MqrGJrBJ… https://t.co/oJQsVGS47o",@BBCWorld
BBC News (World),-0.055,Thu Apr 26 13:56:27 +0000 2018,0,0.808,0.107,0.085,27,"RT @BBC_HaveYourSay: Many refugees face problems of isolation, but things can be particularly challenging for those who are Deaf. #Crossing…",@BBCWorld
BBC News (World),-0.042,Thu Apr 26 13:23:38 +0000 2018,0,0.811,0.103,0.086,156,"RT @BBCSport: Zlatan Ibrahimovic will not be coming out of retirement to play for Sweden at the 2018 World Cup in Russia.

👉 https://t.co/t…",@BBCWorld
BBC News (World),-0.04,Thu Apr 26 13:10:19 +0000 2018,190,0.817,0.1,0.083,60,Trump veterans nominee Ronny Jackson bows out amid allegations https://t.co/Xj1kdBD8ab,@BBCWorld
BBC News (World),-0.059,Thu Apr 26 12:38:19 +0000 2018,505,0.81,0.11,0.08,100,Late author 'helped catch serial killer' https://t.co/YD7YiMPWNo,@BBCWorld
BBC News (World),-0.057,Thu Apr 26 12:36:38 +0000 2018,747,0.816,0.106,0.078,346,"This mesmerising footage shows the lava lake overflowing in Hawaii's Kilauea volcano 🌋

https://t.co/PTtfRq7ksg https://t.co/Xab60CNdTX",@BBCWorld
BBC News (World),-0.056,Thu Apr 26 12:16:07 +0000 2018,157,0.821,0.103,0.076,73,'Real bodies' exhibition causes controversy in Australia https://t.co/HOSYGcC2gN,@BBCWorld
BBC News (World),-0.078,Thu Apr 26 11:53:14 +0000 2018,183,0.812,0.114,0.074,167,Pamplona 'wolf pack' gang jailed over rape in Spain https://t.co/KY9dQXFRI7,@BBCWorld
BBC News (World),-0.076,Thu Apr 26 11:30:35 +0000 2018,157,0.817,0.111,0.072,61,Michael Cohen: Trump's lawyer to plead Fifth Amendment in Daniels case https://t.co/DgWUXNDQ4A,@BBCWorld
BBC News (World),-0.074,Thu Apr 26 11:27:50 +0000 2018,189,0.822,0.108,0.07,115,Swaziland has a new name - eSwatini - but what else has changed? https://t.co/MPuOriUePA,@BBCWorld
BBC News (World),-0.062,Thu Apr 26 11:21:56 +0000 2018,301,0.82,0.105,0.074,86,Austrian organisation helps deaf refugees learn sign language https://t.co/ho7sMH9J2X,@BBCWorld
BBC News (World),-0.06,Thu Apr 26 10:37:12 +0000 2018,132,0.825,0.103,0.072,115,Nigeria 'baby factory' raided in Lagos https://t.co/2LNHJraXYi,@BBCWorld
BBC News (World),-0.059,Thu Apr 26 10:33:01 +0000 2018,445,0.829,0.1,0.07,189,Messi ™ https://t.co/KGvXooBAAz,@BBCWorld
BBC News (World),-0.057,Thu Apr 26 10:23:17 +0000 2018,88,0.834,0.098,0.069,47,India China: Why is Modi meeting Xi now? https://t.co/jkCUIyqUB2,@BBCWorld
BBC News (World),-0.049,Thu Apr 26 10:23:17 +0000 2018,300,0.827,0.1,0.073,120,Lionel Messi wins fight to register himself as trademark https://t.co/plgMRqZ18C,@BBCWorld
BBC News (World),-0.056,Thu Apr 26 10:23:17 +0000 2018,140,0.826,0.102,0.072,44,Gun emoji disarmed as Microsoft follows Google toy switch https://t.co/THuSde7d0o,@BBCWorld
BBC News (World),-0.061,Thu Apr 26 08:40:06 +0000 2018,210,0.825,0.105,0.07,98,Macron says Trump may drop Iran nuclear deal https://t.co/ApHfYFAsaz,@BBCWorld
BBC News (World),-0.06,Thu Apr 26 06:51:56 +0000 2018,220,0.829,0.102,0.068,103,"'Guns, germs and trees' determine gorilla's fate https://t.co/CmVTq0rwVo",@BBCWorld
BBC News (World),-0.058,Thu Apr 26 06:30:14 +0000 2018,237,0.833,0.1,0.067,61,Meghan Markle's Suits exit airs on TV in the US https://t.co/RTPLGq6SSy,@BBCWorld
BBC News (World),-0.07,Thu Apr 26 04:51:33 +0000 2018,236,0.83,0.104,0.065,162,Thirteen children die as India school bus hits train https://t.co/tbAw7gmYpp,@BBCWorld
BBC News (World),-0.069,Thu Apr 26 04:36:30 +0000 2018,296,0.834,0.102,0.064,130,Kim Jong-un to meet Moon Jae-in at Korean border for summit https://t.co/BPzGnl257F,@BBCWorld
BBC News (World),-0.053,Thu Apr 26 01:10:00 +0000 2018,473,0.827,0.1,0.073,113,Trump thanks Kanye West for Twitter compliments https://t.co/zRqexspCbe,@BBCWorld
BBC News (World),-0.052,Thu Apr 26 00:25:52 +0000 2018,423,0.831,0.098,0.071,128,African female bikers raising health awareness in Nigeria https://t.co/fAV0o9mfiN,@BBCWorld
BBC News (World),-0.051,Thu Apr 26 00:01:43 +0000 2018,180,0.834,0.096,0.07,75,The house that is in both India and Myanmar https://t.co/uDr9ou7oev,@BBCWorld
BBC News (World),-0.05,Wed Apr 25 23:58:51 +0000 2018,115,0.837,0.094,0.068,47,'I run for the family I'm not allowed to see' https://t.co/SmjlskFOBH,@BBCWorld
BBC News (World),-0.053,Wed Apr 25 23:55:59 +0000 2018,93,0.83,0.098,0.072,84,Elliot Rodger: How misogynist killer became 'incel' hero https://t.co/VH0R92n4WN,@BBCWorld
BBC News (World),-0.052,Wed Apr 25 23:55:58 +0000 2018,67,0.833,0.096,0.07,36,Diplomacy on the menu: How food can shape politics https://t.co/TFID9CfOmj,@BBCWorld
BBC News (World),-0.051,Wed Apr 25 23:44:19 +0000 2018,193,0.836,0.094,0.069,103,Photos that tell the story of the past 75 years https://t.co/LtH4h9yK7C,@BBCWorld
BBC News (World),-0.05,Wed Apr 25 23:37:39 +0000 2018,60,0.839,0.093,0.068,21,'I performed magic in North Korea' https://t.co/ZaRu7LIjE7,@BBCWorld
BBC News (World),-0.041,Wed Apr 25 23:31:45 +0000 2018,81,0.837,0.091,0.072,29,How tariffs saved the US pencil industry https://t.co/65161U4g4u,@BBCWorld
BBC News (World),-0.041,Wed Apr 25 23:28:50 +0000 2018,99,0.84,0.09,0.07,70,Meet people who review Facebook's reported content https://t.co/k2yGEXkBcz,@BBCWorld
BBC News (World),-0.04,Wed Apr 25 23:28:49 +0000 2018,380,0.843,0.088,0.069,118,Crossing Divides: Israeli school for both Jews and Arabs https://t.co/3PBAZrVzYv,@BBCWorld
BBC News (World),-0.039,Wed Apr 25 23:22:48 +0000 2018,105,0.845,0.087,0.068,49,Korean talks: What will come from Kim-Moon meeting? https://t.co/W82VNoCc5d,@BBCWorld
BBC News (World),-0.039,Wed Apr 25 23:19:56 +0000 2018,311,0.848,0.085,0.067,105,How to Hanami: Japan's cherry blossom season https://t.co/BLEsqFepuX,@BBCWorld
BBC News (World),-0.038,Wed Apr 25 23:19:56 +0000 2018,271,0.85,0.084,0.066,98,Mesmerising footage shows lava lake overflow in Hawaii https://t.co/m3IEZN7k6w,@BBCWorld
BBC News (World),-0.032,Wed Apr 25 22:52:28 +0000 2018,52,0.848,0.082,0.069,31,Facebook sales soar despite data scandal https://t.co/roPx9E8YNe,@BBCWorld
BBC News (World),-0.039,Wed Apr 25 22:21:06 +0000 2018,64,0.846,0.086,0.068,37,Foreign Office 'urgently' reviewing jailed British-Iranian reports https://t.co/4237fiueRU,@BBCWorld
BBC News (World),-0.039,Wed Apr 25 20:54:33 +0000 2018,652,0.848,0.085,0.067,231,Five times Macron ripped into Trumpism https://t.co/9K8Q5Z0SzE,@BBCWorld
BBC News (World),-0.038,Wed Apr 25 20:48:17 +0000 2018,99,0.85,0.083,0.066,117,Turkey Cumhuriyet trial: 13 newspaper staff convicted over coup https://t.co/B83FXpAtcf,@BBCWorld
BBC News (World),-0.034,Wed Apr 25 20:43:17 +0000 2018,0,0.851,0.082,0.067,150,"RT @BBCSport: FT: Bayern Munich 1-2 Real Madrid

A big advantage for the visitors - will Bayern come back from this?

More: https://t.co/af…",@BBCWorld
BBC News (World),-0.038,Wed Apr 25 20:03:22 +0000 2018,298,0.851,0.084,0.066,203,"#GoldenStateKiller: What we know about suspect Joseph James DeAngelo 

https://t.co/wq7uXlUr00 https://t.co/3FQIV8fMAn",@BBCWorld
BBC News (World),-0.037,Wed Apr 25 19:56:54 +0000 2018,75,0.853,0.082,0.065,51,Vincent Bolloré under formal investigation in Africa corruption probe https://t.co/noqARSCSbt,@BBCWorld
BBC News (World),-0.044,Wed Apr 25 19:22:58 +0000 2018,190,0.852,0.084,0.064,104,North Korea test site could be unusable after collapse - Chinese scientists https://t.co/jKIDAuuLc4,@BBCWorld
BBC News (World),-0.043,Wed Apr 25 19:18:13 +0000 2018,0,0.854,0.083,0.063,100,"RT @BBCSport: GOAL! Bayern Munich 1-0 Real Madrid

Joshua Kimmich goes on his own and lashes in the opener.

Live: https://t.co/afVksh5694…",@BBCWorld
BBC News (World),-0.042,Wed Apr 25 18:54:24 +0000 2018,0,0.856,0.082,0.062,23,"RT @bbcworldservice: Has your granny ever wished you'd get a proper job, get married and start saving for the future? And have you ever sna…",@BBCWorld
BBC News (World),-0.051,Wed Apr 25 18:42:18 +0000 2018,167,0.854,0.085,0.061,70,"Find out more about the #GoldenStateKiller, with reports police have 'arrested suspect' in California https://t.co/wS7WgdMYJJ",@BBCWorld
BBC News (World),-0.061,Wed Apr 25 17:16:16 +0000 2018,324,0.848,0.091,0.06,112,Israeli policeman jailed for killing Palestinian teen https://t.co/fB1p7SEeeD,@BBCWorld
BBC News (World),-0.06,Wed Apr 25 17:01:55 +0000 2018,235,0.85,0.09,0.06,127,Swedish archaeologists reveal 5th Century massacre at Sandby borg https://t.co/TjIdOuFsd5,@BBCWorld
BBC News (World),-0.063,Wed Apr 25 16:37:27 +0000 2018,0,0.85,0.091,0.059,24,RT @bbcthree: No female WWE wrestlers at Saudi Arabia show https://t.co/DT5vgdNyDS https://t.co/Hjq16kMKfh,@BBCWorld
BBC News (World),-0.067,Wed Apr 25 16:14:26 +0000 2018,778,0.849,0.093,0.058,216,Macron to US Congress: 'There is no Planet B' https://t.co/DMbQa0w6h6,@BBCWorld
BBC News (World),-0.068,Wed Apr 25 16:14:26 +0000 2018,93,0.849,0.093,0.057,48,US college says outdoors too risky for outdoors club https://t.co/X30mqYZUj5,@BBCWorld
BBC News (World),-0.078,Wed Apr 25 16:11:10 +0000 2018,169,0.844,0.1,0.057,95,Golden State Killer: Police 'arrest suspect' in California https://t.co/0QmKvp94Dk,@BBCWorld
BBC News (World),-0.082,Wed Apr 25 15:58:50 +0000 2018,491,0.842,0.102,0.056,137,Macron attacks nationalism in speech to US Congress https://t.co/l4PrfXI4aQ,@BBCWorld
BBC News (World),-0.083,Wed Apr 25 15:43:02 +0000 2018,397,0.841,0.102,0.057,153,"""Iran shall never possess any nuclear weapons""

French President @EmmanuelMacron urges US Congress not to abandon n… https://t.co/WgrGlF0tI6",@BBCWorld
BBC News (World),-0.082,Wed Apr 25 15:41:28 +0000 2018,291,0.843,0.101,0.056,122,Iran's Reza Shah: Mummified remains 'most probably' belong to leader https://t.co/p60IFbuZEj,@BBCWorld
BBC News (World),-0.087,Wed Apr 25 15:31:37 +0000 2018,1494,0.843,0.102,0.055,671,"""There is no planet B"" - French President @EmmanuelMacron tells US Congress to find a smooth transition to low carb… https://t.co/NWu1YIA7wG",@BBCWorld
BBC News (World),-0.086,Wed Apr 25 15:18:15 +0000 2018,151,0.844,0.101,0.055,27,Melania steps into spotlight for Macron visit https://t.co/PJVlBRmvaN,@BBCWorld
BBC News (World),-0.092,Wed Apr 25 15:18:07 +0000 2018,711,0.843,0.103,0.054,328,"It is a ""critical moment for the world"" in the fight against ""dangers... of extreme nationalism"", French President… https://t.co/WDSsvLM3dE",@BBCWorld
BBC News (World),-0.09,Wed Apr 25 15:13:21 +0000 2018,0,0.844,0.101,0.055,128,"RT @BBCJonSopel: This is a thinly veiled rebuke to @realDonaldTrump from @EmmanuelMacron - ""we can choose isolationism, withdrawal and nati…",@BBCWorld
BBC News (World),-0.098,Wed Apr 25 15:04:47 +0000 2018,203,0.839,0.105,0.056,67,"""It is a horrific price to pay for freedom"" - French President Emmanuel Macron talks about terror attacks in Europe… https://t.co/27aLn1GjlU",@BBCWorld
BBC News (World),-0.097,Wed Apr 25 14:53:13 +0000 2018,0,0.841,0.104,0.055,21,"RT @BBCNorthAmerica: Are you and your partner living together, raising a child - but aren't married? The BBC wants to talk to Americans abo…",@BBCWorld
BBC News (World),-0.09,Wed Apr 25 14:26:24 +0000 2018,100,0.84,0.103,0.057,43,Auschwitz rap: German Echo music prize scrapped in anti-Semitism row https://t.co/76hcZ5H2GI,@BBCWorld
BBC News (World),-0.092,Wed Apr 25 13:31:52 +0000 2018,337,0.839,0.105,0.057,287,Rwanda 'genocide-era' mass graves found https://t.co/a4N0BK2yzx,@BBCWorld
BBC News (World),-0.099,Wed Apr 25 13:20:45 +0000 2018,0,0.834,0.108,0.058,23,RT @BBCtrending: Is a new hate speech law killing German comedy? https://t.co/PhTFoRC50z,@BBCWorld
BBC News (World),-0.101,Wed Apr 25 13:10:12 +0000 2018,177,0.834,0.109,0.057,129,Hotel door locks worldwide were vulnerable to hack https://t.co/Fy1819Ik89,@BBCWorld
BBC News (World),-0.097,Wed Apr 25 13:05:05 +0000 2018,146,0.829,0.111,0.06,56,Iraqi women election candidates targeted for abuse gain UN support https://t.co/pwRU1mPlje,@BBCWorld
BBC News (World),-0.096,Wed Apr 25 12:57:25 +0000 2018,81,0.831,0.109,0.059,21,Rose McGowan: 'Weinstein tried to contact me' https://t.co/TNqqXja1kN,@BBCWorld
BBC News (World),-0.095,Wed Apr 25 12:53:38 +0000 2018,196,0.833,0.108,0.059,51,Hank Azaria 'willing to step aside' from Simpsons Apu role https://t.co/NZR7CyhqLF,@BBCWorld
BBC News (World),-0.094,Wed Apr 25 12:39:02 +0000 2018,96,0.835,0.107,0.058,37,US actress Rose McGowan: Weinstein tried to text me https://t.co/js0vCj1xFk,@BBCWorld
BBC News (World),-0.103,Wed Apr 25 12:06:00 +0000 2018,120,0.829,0.113,0.057,75,India teacher arrested over wedding bomb murder https://t.co/L1xiqf6sOT,@BBCWorld
BBC News (World),-0.101,Wed Apr 25 11:36:17 +0000 2018,161,0.831,0.112,0.057,95,WhatsApp raises minimum age limit in EU https://t.co/ZVeMHrUVdX,@BBCWorld
BBC News (World),-0.107,Wed Apr 25 11:36:17 +0000 2018,62,0.829,0.115,0.056,34,Serzh Sargsyan: Protesters return after talks fail in Armenia https://t.co/WR7HJejnoV,@BBCWorld
BBC News (World),-0.103,Wed Apr 25 11:28:26 +0000 2018,7410,0.827,0.115,0.058,2299,"Cowboy comes to the rescue to stop an armed robbery 🤠

https://t.co/HKOFPVNAXg https://t.co/RdpIf2ZSfL",@BBCWorld
FRANCE 24 English,-0.459,Thu Apr 26 23:00:05 +0000 2018,0,0.7,0.3,0.0,0,Agitated Trump unleashes in TV interview https://t.co/GjlyKhDxlU https://t.co/UNPnVdYBCB,@France24_en
FRANCE 24 English,-0.229,Thu Apr 26 22:45:10 +0000 2018,0,0.85,0.15,0.0,2,Trump to make first trip to Britain in July https://t.co/7gdR8czKvh https://t.co/gXKW68oPhc,@France24_en
FRANCE 24 English,-0.153,Thu Apr 26 22:27:54 +0000 2018,1,0.9,0.1,0.0,2,Bulgaria eyes euro 'waiting room' within a year: PM https://t.co/fLviDASCpf https://t.co/TaikBvL5My,@France24_en
FRANCE 24 English,-0.014,Thu Apr 26 22:11:22 +0000 2018,5,0.879,0.075,0.046,13,French special forces sent to reinforce US-led operations in Syria: Mattis https://t.co/B9bxQCQpgi https://t.co/z64BVfZGEC,@France24_en
FRANCE 24 English,-0.199,Thu Apr 26 21:45:58 +0000 2018,1,0.78,0.183,0.037,5,'Pack' accused of gang rape jailed for sexual abuse in Spain https://t.co/hhlqQrUUqr https://t.co/sfZqlBBo4U,@France24_en
FRANCE 24 English,-0.165,Thu Apr 26 21:12:58 +0000 2018,0,0.817,0.152,0.031,1,DJ Avicii 'could not go on any longer': family https://t.co/I3NGsftpzo https://t.co/h2B2abRlTV,@France24_en
FRANCE 24 English,-0.196,Thu Apr 26 21:11:02 +0000 2018,0,0.829,0.145,0.026,12,"RT @clairepaccalin: 'The Legion is our home' is the motto of the French #ForeignLegion. But what makes men sign up to fight for France, a c…",@France24_en
FRANCE 24 English,-0.236,Thu Apr 26 20:55:59 +0000 2018,1,0.784,0.174,0.042,1,Two Italians charged over assault on Liverpool fan https://t.co/5uyJMYWUsT https://t.co/IIPp4NGtxN,@France24_en
FRANCE 24 English,-0.271,Thu Apr 26 20:49:28 +0000 2018,5,0.753,0.194,0.053,2,More than 70 countries commit to combat terror financing https://t.co/sYdgwmh5eN https://t.co/fTqZISWhry,@France24_en
FRANCE 24 English,-0.327,Thu Apr 26 20:47:58 +0000 2018,4,0.731,0.214,0.054,4,MEDIAWATCH - Outrage online in Spain after five men cleared of gang rape https://t.co/HFpljfBtFn https://t.co/9zKVtPD9H3,@France24_en
FRANCE 24 English,-0.372,Thu Apr 26 20:42:58 +0000 2018,1,0.709,0.234,0.056,1,▶️ Outrage online after five men cleared of gang rape https://t.co/G3c79IuH7C https://t.co/JnHNFuFfM1,@France24_en
FRANCE 24 English,-0.38,Thu Apr 26 20:40:31 +0000 2018,0,0.712,0.236,0.052,1,No ball: London Olympic Stadium misses out on 2019 Cricket World Cup https://t.co/vCcMNudA0O https://t.co/b4hFgdHLc6,@France24_en
FRANCE 24 English,-0.351,Thu Apr 26 20:22:57 +0000 2018,5,0.734,0.218,0.048,7,Military balance on the Korean peninsula https://t.co/Po3WIG9tAb https://t.co/HD7fy1mrU1,@France24_en
FRANCE 24 English,-0.319,Thu Apr 26 20:18:32 +0000 2018,3,0.747,0.202,0.051,3,"Pompeo becomes US secretary of state as N. Korea, Middle East issues await https://t.co/7fXF0as2Fx https://t.co/9ev1dFGRB0",@France24_en
FRANCE 24 English,-0.337,Thu Apr 26 20:18:28 +0000 2018,13,0.744,0.209,0.047,17,Bill Cosby convicted of drugging and molesting a woman https://t.co/AesQN2AOXn https://t.co/Cvk5vKfq4C,@France24_en
FRANCE 24 English,-0.307,Thu Apr 26 19:49:27 +0000 2018,1,0.751,0.196,0.053,0,Cosby jury dives into star defense witness testimony https://t.co/9dyMWOL3AX https://t.co/9LjokHa5YN,@France24_en
FRANCE 24 English,-0.279,Thu Apr 26 19:32:59 +0000 2018,0,0.759,0.184,0.057,2,"US needs EU 'concessions' to extend steel, aluminum tariff exemptions: Trump aide https://t.co/3qIDJAQyZb https://t.co/DBckmlFigr",@France24_en
FRANCE 24 English,-0.263,Thu Apr 26 19:15:59 +0000 2018,1,0.772,0.174,0.054,1,"After nine-hour livestream, Shawn Mendes reveals album https://t.co/lqdTuKxoum https://t.co/0sP6kxUw6S",@France24_en
FRANCE 24 English,-0.25,Thu Apr 26 18:43:58 +0000 2018,1,0.784,0.165,0.051,2,White House doctor withdraws bid for US cabinet job https://t.co/UjtcX2xeCW https://t.co/mX9CG1cICz,@France24_en
FRANCE 24 English,-0.229,Thu Apr 26 18:36:58 +0000 2018,2,0.781,0.162,0.057,5,▶️ Anti-Semitism in France: Religious leaders 'won't solve the problem' https://t.co/q4ItQRwTKs https://t.co/x4oWcGJAKs,@France24_en
FRANCE 24 English,-0.218,Thu Apr 26 18:29:00 +0000 2018,1,0.792,0.154,0.054,1,THE DEBATE - A new anti-Semitism? French open letter sparks controversy https://t.co/xPA16xvQtT https://t.co/QjwcLH7CkP,@France24_en
FRANCE 24 English,-0.223,Thu Apr 26 18:26:58 +0000 2018,1,0.788,0.16,0.052,0,Brazil's Barbosa criticizes austerity reforms https://t.co/RAXTd4i3Ko https://t.co/F3ikuXH0rk,@France24_en
FRANCE 24 English,-0.227,Thu Apr 26 18:11:01 +0000 2018,1,0.789,0.162,0.049,5,Going home to Chernobyl ghost town 32 years on https://t.co/0LTiKwsdqn https://t.co/UsCLlqedpS,@France24_en
FRANCE 24 English,-0.218,Thu Apr 26 18:05:03 +0000 2018,0,0.798,0.155,0.047,1,"▶️ The Foreign Legion, another French exception https://t.co/o3IPiWdYLz https://t.co/ByG3w194DJ",@France24_en
FRANCE 24 English,-0.209,Thu Apr 26 18:05:00 +0000 2018,0,0.806,0.149,0.045,1,▶️ SAN FRANCISCO REVISITED https://t.co/WkTTXeedsA https://t.co/3Gzfy93RNt,@France24_en
FRANCE 24 English,-0.201,Thu Apr 26 17:54:29 +0000 2018,0,0.813,0.143,0.044,0,Iraqi PM takes election campaign to Kurdish capital https://t.co/b8wOX4fXK4 https://t.co/Qj51tX3nCH,@France24_en
FRANCE 24 English,-0.18,Thu Apr 26 17:39:59 +0000 2018,3,0.803,0.144,0.053,7,Mission accomplished? Macron’s charm offensive and the crusade to sway Trump https://t.co/SI8ETzyMyJ https://t.co/rDbd6spes0,@France24_en
FRANCE 24 English,-0.173,Thu Apr 26 17:22:00 +0000 2018,1,0.81,0.138,0.051,2,Semenya targeted by new athletics testosterone rules https://t.co/tYZTc4t2lN https://t.co/eKhoPmk12D,@France24_en
FRANCE 24 English,-0.167,Thu Apr 26 17:04:59 +0000 2018,2,0.817,0.134,0.049,1,BP picks Norwegian Lund as chairman https://t.co/1OJhYT2sgg https://t.co/3yPxAmxPcr,@France24_en
FRANCE 24 English,-0.145,Thu Apr 26 16:30:59 +0000 2018,0,0.814,0.129,0.057,1,Rights architects among nominees for UK's Turner Prize https://t.co/Y4nX2jZZrh https://t.co/1FRB3WYnO0,@France24_en
FRANCE 24 English,-0.142,Thu Apr 26 16:06:00 +0000 2018,1,0.817,0.128,0.055,0,Armenian parliament backs holding vote on new PM next week https://t.co/aQR0X4eBha https://t.co/egqKf7ZAlj,@France24_en
FRANCE 24 English,-0.153,Thu Apr 26 15:59:00 +0000 2018,0,0.807,0.135,0.058,2,Two Italian men charged over assault on Liverpool fan https://t.co/n4jXPtLFVV https://t.co/Npjf2EnCCr,@France24_en
FRANCE 24 English,-0.148,Thu Apr 26 15:35:36 +0000 2018,1,0.813,0.131,0.056,9,Mexican rapper confesses to dissolving students' bodies in acid https://t.co/qwPlpVdDT3 https://t.co/CRGX3x6cPe,@France24_en
